,Year,Hotel,Date,Comment,Lon,Lat
0,2017,"Hyatt Regency Lake Tahoe Resort, Spa and Casino",2017-01-15, 1 Night,39.24069,-119.94302
1,2017,New Sheridan Hotel,2017-01-28, 3 Nights,37.937707,-107.812099
2,2017,Grand Vista Hotel,2017-01-3, 1 Night,39.1153005,-108.5356283
3,2017,The Westin Snowmass Resort,2017-02-01, 3 Nights,39.2058605,-106.9539079
4,2017,Grand Hyatt Denver,2017-02-04, 1 Night,39.74584,-104.988989
5,2017,Mountain Retreat Hotel & Suites,2017-02-23, 1 Night,49.7160807,-123.148801
6,2017,Hilton Whistler Resort & Spa,2017-02-24, 2 Nights,50.113325,-122.9553983
7,2017,Ramada SeaTac Airport,2017-02-26, 1 Night,47.4526886,-122.294637
8,2017,Hyatt Place Salt Lake City/Cottonwood,2017-03-10, 2 Nights,40.6354822,-111.8051599
9,2017,Atomic Inn,2017-04-07, 1 Night,36.9082855,-116.7562351
10,2017,Stovepipe Wells Village Hotel,2017-04-08, 1 Night,36.6062861,-117.1465369
11,2017,Racetrack Playa (Camping),2017-04-08, 1 Night,36.6813,-117.5627
12,2017,1791 Lucretia Ave (Airbnb),2017-04-27, 1 Night,37.3221846,-121.8499782
13,2017,Le Méridien New Orleans,2017-05-12, 2 Nights,29.9490447,-90.0664948
14,2017,1530 Empire Ave (Airbnb),2017-06-10, 2 Nights,40.6555388,-111.5071892
15,2017,3348 Patricks Point Dr (Vrbo),2017-07-01, 2 Nights,41.120643,-124.15818
16,2017,McCloud Mercantile Hotel,2017-07-03, 1 Night,41.2532389,-122.1393692
17,2017,Grandview Campground,2017-07-15, 1 Night,37.3335255,-118.1872998
18,2017,Cinnamon Bear Inn,2017-07-14, 1 Night,37.646928,-118.971903
19,2017,Grant Grove Cabins,2017-08, 1 Night,36.740445,-118.96316
20,2017,Playa Grande Resort & Grand Spa,2017-09, 1 Nights,22.876528,-109.9084493
21,2017,Marquis Los Cabos Resort & Spa,2017-09, 2 Nights,22.98611,-109.757669
22,2017,Encore,2017-10, 3 Nights,36.1290754,-115.1652896
23,2014,The Lodge at the Mountain Village,2017-10, 3 Nights,40.6524806,-111.5080048
24,2014,Taj Campton Place,2014,,37.789193,-122.4067247
25,2014,The Westin Tysons Corner,2014,,38.9080982,-77.2158417
26,2014,Sheraton Herndon Dulles East,2014,,38.9583619,-77.421773
27,2014,The Westin St. Louis,2014,,38.6234632,-90.1948382
28,2014,The Westin Washington Dulles Airport,2014,,38.955762,-77.427842
29,2014,W San Francisco,2014,,37.7853321,-122.4004492
30,2014,Hilton San Jose,2014,,37.3292632,-121.8905242
31,2014,"The Westin Governor Morris, Morristown",2014,,40.7975185,-74.4586641
32,2014,The Fairfax at Embassy Row,2014,,38.9105207,-77.0469582
33,2014,Aloft Chesapeake,2014,,36.7788583,-76.2419173
34,2014,Hilton McLean Tysons Corner,2014,,38.9263581,-77.2160177
35,2014,New Haven Hotel,2014,,41.30468,-72.92947
36,2014,"The Liberty, a Luxury Collection Hotel, Boston",2014,,42.3619402,-71.0696222
37,2014,Bar Harbor Inn & Spa,2014,,44.3904723,-68.2024454
38,2014,W New York - Union Square,2014,,40.7365757,-73.9885814
39,2014,Sheraton Clayton Plaza,2014,,38.6470423,-90.3363276
40,2014,"The Westin Riverwalk, San Antonio",2014,,29.4234017,-98.4907714
